Subject,Group,Sample,ISC_Neutral,ISC_Emotional,ISC_EMO-NEU,ISC_N-N,ISC_E-N,ISC_N-E,ISC_E-E,DP.50.Angry.Congruent,DP.50.Angry.Incongruent,DP.50.Happy.Congruent,DP.50.Happy.Incongruent,DP.50.Sad.Congruent,DP.50.Sad.Incongruent,DP.1000.Angry.Congruent,DP.1000.Angry.Incongruent,DP.1000.Happy.Congruent,DP.1000.Happy.Incongruent,DP.1000.Sad.Congruent,DP.1000.Sad.Incongruent,DPCongruency_happy50,DPCongruency_happy1000,DPCongruency_angry50,DPCongruency_angry1000,DPCongruency_sad50,DPCongruency_sad1000,MEMPriming_neg,MEMPrimig_neut,MEMPriming_pos,MemoryImplicit_neg-neu,MemoryImplicit_pos-neu,ExpMemNegative,ExpMemPositive,ExpMemNeutral,EXPMEM_Neg-Neu,EXPMEM_Pos-Neu,INTERcongruent.neg,INTERcongruent.neutral,INTERcongruent.pos,INTERincongruent.neg,INTERincongruent.neutral,INTERincongruent.pos,InterferenceCong_Neg-Neu,InterferenceCong_Pos-Neu,InterferenceIncong_Pos-Neu,InterferenceIncong_Neg-Neu,Interpretation_NegSelection,InterpretationRT_Neg,InterpretationRT_Pos,Interpretation_Rtneg-pos,ExpectancySelection_neg,ExpectancySelection_pos,ExpectancyRT_negative.accept,ExpectancyRT_negative.reject,ExpectancyRT_positive.accept,ExpectancyRT_positive.reject,ExpectancyConfidance_negative.accept,ExpectancyConfidance_negative.reject,ExpectancyConfidance_positive.accept,ExpectancyConfidance_positive.reject,ExpectancyRejection,ExpectancyAcceptance,BDI_SCORE,STAI_SCORE,PSWQ_SCORE,RRS_SCORE,DASS_Depression,DASS_Anxiety,DASS_stress
532,2,2,480,765,285,2290,2871,2838,1905,760.86,699.03,732.23,648.24,645.86,659.75,633.83,614.9,608.97,569.67,631,665.83,-83.99,-39.3,-61.83,-18.93,13.89,34.83,-0.05,0,0,-0.05,0,3,2,1,2,1,493.49,522.27,488.13,497.15,515.61,496.1,-28.78,-34.14,-19.51,-18.46,0.53,4081.95,4071.84,10.11,0.24,0.44,8761.75,8238.38,6803.57,6077.89,4,3.92,4.57,4.44,2160.49,1958.18,14,51,31,29,28,0,18
533,3,2,190,300,110,3358,3549,3758,3352,907.31,921.63,940.17,934.67,888.66,915,821.63,1010.4,954.41,916.83,945.97,882.73,-5.5,-37.58,14.32,188.77,26.34,-63.24,-0.05,0,0,-0.05,0,3,6,1,2,5,608,597.65,577.72,626.32,610.31,609.47,10.35,-19.93,-0.84,16.01,0.49,2277.89,1960.3,317.59,0.5,0.94,6352.13,3856.5,4714.75,3357,3.13,4.13,3.88,3,499.5,1637.38,24,54,54,49,22,30,34
534,3,2,-83,136,219,704,981,888,886,367.83,384.3,365.63,358.52,366.27,371.29,396.8,396.3,428.38,393.82,394.67,401.38,-7.11,-34.56,16.47,-0.5,5.02,6.71,0.3,0.5,0.2,-0.2,-0.3,3,2,1,2,1,540.89,524.28,548.53,552.18,593.54,554.59,16.61,24.25,-38.95,-41.36,0.58,2239.55,2245.69,-6.14,0.56,0.12,5739.56,8116,9024,5170.87,4.89,3.86,3,5,2945.13,-3284.44,51,70,66,76,38,40,54
535,3,2,189,125,-64,1299,1527,1440,1414,366.4,355.37,364.53,361.82,359.55,357.79,540.25,516.04,537.82,532.82,522.41,551.21,-2.71,-5,-11.03,-24.21,-1.76,28.8,0.05,0.2,0.1,-0.15,-0.1,10,5,2,8,3,352.85,352.42,354.03,361.22,367.95,371.66,0.43,1.61,3.71,-6.73,0.78,1611.03,2495.5,-884.47,0.81,0.24,5928.08,5557,6232.5,5954.62,4.46,4.33,2,3.46,-397.62,-304.42,38,68,60,57,28,26,30
537,2,2,-3,-11,-8,948,874,866,820,747.28,648.03,735.31,710.17,661.83,665.28,730.78,748.07,743.33,730.43,697.38,755.52,-25.14,-12.9,-99.25,17.29,3.45,58.14,-0.05,0.05,-0.1,-0.1,-0.15,4,4,0,4,4,719.65,799.98,737.77,720.41,776.79,800.53,-80.33,-62.21,23.74,-56.38,0.03,2838,1802.76,1035.24,0.35,0.44,6991.33,5808.55,5306,6664.11,4.17,4.55,4.71,4.11,-855.56,1685.33,9,37,46,25,2,0,16
538,2,2,349,335,-14,2686,3692,2758,3033,609.75,627.96,595.87,617.86,619.04,601.76,582.9,601.69,583.79,596.67,572.76,567.11,21.99,12.88,18.21,18.79,-17.28,-5.65,0.35,0.3,-0.05,0.05,-0.35,5,3,2,3,1,603.11,664.21,649.15,648.52,650.85,627.52,-61.1,-15.06,-23.33,-2.33,0.16,3511,3207.56,303.44,0.41,0.44,11195.43,8419.7,6883.43,6631.22,3.86,4,3.29,4,1788.48,4312,30,54,61,60,22,4,32
539,3,2,154,295,141,1266,1682,1551,1380,422.63,415.83,422.13,423.3,397.38,402.4,515.55,547.3,554.03,541.59,530.33,503.55,1.17,-12.44,-6.8,31.75,5.02,-26.78,0.35,0.25,0.2,0.1,-0.05,12,2,4,8,-2,840.2,707.65,775.49,861.86,729.49,821.72,132.55,67.84,92.23,132.37,0.82,1235.47,1455.71,-220.24,0.35,0.19,2823.83,3429.91,4545.67,2847,4.17,3.55,4,4.15,582.91,-1721.84,44,63,73,64,24,28,46
540,2,2,618,418,-200,1743,2455,2068,1942,618.83,587.21,583.38,587.38,595.62,619.82,452.57,462.03,465.2,463.7,464.53,456.73,4,-1.5,-31.62,9.46,24.2,-7.8,0.25,0.25,0.1,0,-0.15,7,6,3,4,3,603.58,633.62,627.85,658.34,603.26,609.05,-30.04,-5.77,5.79,55.08,0.36,8023.07,6344.16,1678.91,0.71,0.81,7365.25,6904.6,5380.92,4022.33,2.17,2.8,3.15,2.67,2882.27,1984.33,26,64,57,55,32,8,36
541,2,2,-307,1341,1648,4101,5316,5240,3764,726.31,789.87,713.1,847.96,803.1,801.86,646.21,650.86,697.21,663.13,651.21,624.54,134.86,-34.08,63.56,4.65,-1.24,-26.67,0.05,-0.2,-0.25,0.25,-0.05,3,1,0,3,1,768.84,843.1,771.38,909.49,870.85,817.52,-74.26,-71.72,-53.33,38.64,0.05,3097,2628.78,468.22,0.29,0.38,15993,14316.67,9590.5,9679.4,3.4,1.83,2.83,2.3,4637.27,6402.5,49,56,63,84,42,40,52
542,2,2,910,738,-172,2463,3308,3483,2838,787.13,781.14,749.25,730.64,816.74,783.13,677.5,634.57,749.07,738.62,750.87,763.21,-18.61,-10.45,-5.99,-42.93,-33.61,12.34,-0.05,-0.1,0.2,0.05,0.3,3,3,0,3,3,533.24,534.83,538.32,558,561.54,581.11,-1.59,3.49,19.57,-3.54,0.33,4875.23,5321.23,-446,0.76,0.18,6229.54,10076.25,6677,4771.57,3.92,2.5,2.33,4.36,5304.68,-447.46,49,74,67,70,40,26,38
543,3,2,324,460,136,1499,1499,1871,987,371.07,352.2,378.18,349.81,367,376.39,437.8,419.52,433.21,406.71,396.62,417.61,-28.37,-26.5,-18.87,-18.28,9.39,20.99,0.15,0.2,0.15,-0.05,-0.05,4,7,3,1,4,383.63,380.51,370.95,378.85,394.48,384.41,3.12,-9.56,-10.07,-15.63,0.51,2207.65,2360.95,-153.3,0.24,0.56,2797.5,2538.77,3910.67,2498.29,3.25,3.92,3.22,2.57,40.48,-1113.17,27,60,50,57,20,14,42
544,3,2,155,265,110,1459,1682,1780,1470,412.9,421.53,413,413.5,417.9,411.69,431.46,430.64,444.48,432.9,431.03,439.87,0.5,-11.58,8.63,-0.82,-6.21,8.84,0.45,0.45,0.4,0,-0.05,8,7,4,4,3,439.87,436.74,425.37,415.34,432.86,435.94,3.13,-11.37,3.08,-17.52,0.28,1289.18,1267.75,21.43,0.29,0.88,1592.6,1961.58,1635.64,2390,3.8,3.25,3.79,2.5,-428.42,-43.04,15,47,54,50,8,14,34
